GEOID,NAME,T2_EST1,T8_LE80,T8_LE50_CB_PCT,T8_LE80_CB_PCT,T8_LE30_CB_PCT,CB_RENT_LE80,CB_OWN_LE80,OWN_GAP_RATIO,AFF_DEFICIT,MED_HH_INC,POVERTY_PCT,UNEMP_PCT,CB_PCT,VACANCY_PCT,SFD_PCT,MED_HOME_VAL,HB_UNITS,OR_UNITS,TOTAL_UNITS,TOTAL_AMT_K,LOWMODPCT,LMI_ELIGIBLE,HAS_HOME_INVEST,HAS_HB_INVEST,NEED_SCORE,DISP_SCORE,INV_SCORE,LMI_SCORE
48439111311,Census Tract 1113.11,2335,340,90.0,83.82,100.0,140,145,0.49,0.51,119063.0,4.06,2.72,20.8,6.0,88.01,283100.0,0.0,0.0,0.0,0.0,6.38,False,False,False,51.84,41.04,10.87,8.76
48439103601,Census Tract 1036.01,825,700,59.02,53.57,58.43,310,69,0.82,0.79,19712.0,53.95,13.21,45.7,27.06,51.11,47200.0,19.0,1.0,20.0,326.34,91.3,True,True,True,47.04,48.1,65.94,100.0
48439113404,Census Tract 1134.04,2050,1075,77.39,53.95,100.0,400,180,0.69,0.56,51932.0,12.18,4.93,28.95,4.91,68.4,174700.0,1.0,8.0,9.0,188.51,31.57,False,True,True,70.63,53.82,34.51,43.33
48439122100,Census Tract 1221,2015,1395,58.94,51.25,58.18,430,280,0.61,0.49,44538.0,23.53,0.24,35.4,6.79,93.21,98200.0,61.0,31.0,92.0,1270.14,69.72,True,True,True,53.94,41.28,98.01,100.0
48439104503,Census Tract 1045.03,810,640,49.72,29.53,56.41,84,110,0.43,0.22,37368.0,30.64,11.69,31.23,9.6,94.2,78000.0,15.0,8.0,23.0,797.05,69.36,True,True,True,41.02,21.28,65.58,100.0
48439103500,Census Tract 1035,1360,985,59.56,41.52,53.85,254,153,0.62,0.58,34464.0,28.17,5.08,31.89,16.74,73.02,88700.0,39.0,1.0,81.0,1009.49,78.48,True,True,True,50.24,33.92,94.02,100.0
48439102500,Census Tract 1025,1325,1075,48.57,42.33,60.47,340,115,0.75,0.49,32733.0,21.97,7.2,35.14,19.78,87.3,85400.0,129.0,16.0,145.0,2376.33,72.5,True,True,True,49.33,33.33,99.82,100.0
48439113520,Census Tract 1135.20,2365,665,83.64,68.42,77.5,365,90,0.8,0.77,74316.0,6.22,3.11,29.33,6.01,35.2,198000.0,0.0,0.0,0.0,0.0,15.96,False,False,False,45.33,64.83,10.87,21.91
48439104900,Census Tract 1049,955,685,50.45,29.05,80.0,90,114,0.44,0.34,47886.0,13.11,4.79,21.32,4.68,92.13,112200.0,20.0,1.0,21.0,220.01,40.44,False,True,True,42.33,35.18,68.66,55.51
48439113948,Census Tract 1139.48,1735,530,97.5,90.57,97.06,360,120,0.75,0.88,81473.0,20.23,2.61,27.62,0.0,60.73,211700.0,,,,,,False,False,False,70.8,80.84,,0.0
48439111566,Census Tract 1115.66,1875,195,100.0,69.23,,135,0,1.0,0.92,166384.0,1.17,1.54,17.76,0.0,90.4,343300.0,,,,,,False,False,False,37.71,92.33,,0.0
48439105408,Census Tract 1054.08,1115,205,47.62,65.85,42.11,105,28,0.79,0.81,94575.0,6.38,1.31,19.23,17.62,44.41,381200.0,,,,,,False,False,False,14.71,49.13,,0.0
48439111513,Census Tract 1115.13,1335,450,80.65,40.0,66.67,90,95,0.49,0.27,77939.0,2.99,9.41,18.15,2.7,97.3,173700.0,13.0,2.0,16.0,112.12,22.07,False,True,True,30.86,40.15,56.79,30.29
48439113006,Census Tract 1130.06,535,350,100.0,91.43,100.0,300,20,0.94,0.94,46328.0,17.67,0.0,61.91,21.73,27.31,179900.0,,,,,,False,False,False,70.07,59.5,,0.0
48439111319,Census Tract 1113.19,2620,475,91.43,81.05,100.0,260,125,0.68,0.84,122143.0,3.77,1.13,22.69,6.4,66.89,353900.0,,,,,,False,False,False,55.52,60.7,,0.0
48439111320,Census Tract 1113.20,1330,180,12.5,36.11,0.0,0,65,0.0,0.81,126202.0,6.65,3.91,28.25,4.11,100.0,347700.0,,,,,,False,False,False,11.76,46.65,,0.0
48439113923,Census Tract 1139.23,2030,650,76.92,59.23,41.67,305,85,0.78,0.66,78435.0,4.29,4.69,26.13,4.6,32.39,194300.0,5.0,0.0,5.0,42.0,15.5,False,True,True,31.62,62.8,38.59,21.27
48439106519,Census Tract 1065.19,760,615,95.6,73.98,96.36,455,0,1.0,0.91,23571.0,33.69,1.92,65.35,22.64,9.24,,,,,,,False,False,False,75.46,60.21,,0.0
48439113918,Census Tract 1139.18,2040,715,94.81,70.63,92.0,280,230,0.55,0.5,65391.0,6.56,4.05,29.79,3.09,83.29,150200.0,18.0,0.0,18.0,129.18,25.85,False,True,True,61.94,49.85,63.41,35.48
